ID_REF	Set001.H4	Set001.H2	Set001.H1	Set001.G2	Set001.G1	Set001.F4	Set001.E4	Set001.E3	Set001.E2	Set001.D4	Set001.D2	Set001.D1	Set001.C2	Set001.C1	Set001.B4	Set001.B3	Set001.B2	Set001.A4	Set001.A3	Set001.A2	Set001.A1
SL000001	11.57255813	10.63680585	11.09130314	11.04814625	11.00014088	11.55966388	10.93545975	11.69200517	11.46245115	11.30292446	10.95543196	11.25313837	11.22031786	11.60968664	10.66773249	11.02181282	10.73276101	11.69235396	11.0302533	11.64164537	10.86997933
SL000002	10.319785	9.213833283	9.334943631	9.940900834	9.470048726	10.13660668	9.519832792	10.32305476	9.726558779	9.716990894	9.369379235	9.537800798	9.823685681	10.27926234	9.093549613	9.363915717	9.346956889	10.33561366	9.376125389	10.40811741	9.33136485
SL000003	15.09112956	14.42062477	14.38381227	14.76027293	14.6895012	15.83018094	14.46584696	15.65413811	14.84208021	14.96224986	14.82605188	14.9897138	15.02798373	14.75645729	14.26384869	14.50726195	14.99277463	14.55230886	14.85163681	15.29503707	14.86330548
SL000004	13.95330526	13.75620186	13.39978526	13.31136517	13.90741648	13.58464547	13.95744671	14.54069716	13.47487201	13.44280098	13.82559485	13.73493185	13.46946376	13.5438535	13.24311447	13.69770607	13.51275281	13.7537704	13.45083751	13.80764673	13.69102374
SL000006	7.174925683	6.770829046	6.62497818	6.881419908	6.783980414	7.375039431	6.74281467	7.680183682	6.94602899	6.920055055	6.5360529	6.834154981	6.705977902	7.207502459	6.412781525	6.682292371	6.906890596	7.06501215	6.832890014	7.029011087	7.004501392
SL000007	9.234817431	8.248876343	8.549977143	8.791814071	8.607330314	9.207746467	8.573647187	9.401306206	8.880807948	8.809928866	8.476138625	8.770829046	8.851749041	9.355130821	8.245552706	8.549592167	8.421223299	9.216260837	8.519243094	9.412781525	8.495455333
SL000009	8.887220615	7.9795681	8.195249158	8.630449157	8.235056863	9.084276911	8.34251919	8.957682486	8.710806434	8.497452696	8.277519887	8.315602457	8.733015322	9.015693807	8.139039668	8.248402006	8.306061689	8.811856314	8.207502459	9.197462446	8.083745237
SL000011	10.57771205	10.09631984	10.88980814	10.79465954	10.57222651	11.13262825	10.08931806	10.9767789	11.23792695	10.70873904	10.60074921	10.77016832	10.8108126	11.25065372	10.29013407	10.67074476	10.21006248	10.86387652	10.30754237	10.92510932	10.77346893
SL000017	12.52608349	10.85658115	10.98249453	11.48768933	11.38753272	11.36407992	11.41658644	11.74546425	11.22303634	12.96609082	11.75380173	12.00151375	11.22472525	10.94741778	11.67299983	10.65696108	10.66799854	13.67422538	11.86855251	11.85319258	11.74521212
SL000019	13.69972426	14.58499772	15.87354264	15.31400962	14.68740302	14.33360263	14.71606384	16.09710419	13.92679633	15.76477831	15.25011703	15.25131597	14.59849455	14.93446951	15.8925025	14.54561007	14.60204347	16.23096611	15.9799878	14.00661536	14.16870345
SL000020	10.31061278	9.073338255	9.601027897	9.497452696	9.238404739	9.864340932	9.685449638	10.74264628	10.11191811	9.842193179	9.907942177	10.23900176	8.519636253	9.589089313	9.342741399	8.66498053	9.2244841	10.81073228	9.363258702	9.22905912	9.840620587
SL000021	5.569855608	4.121015401	4.944858446	5.121015401	4.958842675	5.395748328	4.491853096	5.725195817	5.752213368	5.078951341	4.255500733	4.87774425	5.121015401	5.332707934	4.678071905	5.112700133	4.791814071	5.459431619	5.070389328	5.449561375	4.995484519
SL000022	14.83005959	13.05200757	13.84919982	13.42897512	13.51082597	14.7510785	14.84840777	15.08550565	14.32342777	14.24946164	13.9295913	14.26797171	12.80124355	13.45050247	13.41769432	12.86884184	14.24562698	15.64409286	14.0172956	14.07343031	13.5082157
SL000024	10.21006248	9.695228291	9.931180721	9.995908446	9.929110432	10.32057493	9.84815344	10.51796459	10.30788385	10.34418493	9.887677574	10.1009251	10.26561505	10.31152128	9.652307222	9.996473489	9.618018358	10.49415556	10.35601172	10.42595018	9.775116404
SL000027	10.31955923	9.938403424	10.32373034	10.53974043	10.20640391	10.73242185	10.37710205	11.22689381	10.48994828	10.43514934	10.25112731	10.53216108	10.2772874	10.67533961	10.16829604	10.38402821	10.3553511	10.57430969	9.836997109	10.86093177	10.03094296
SL000038	7.996614715	6.974988112	7.350497247	7.6794801	7.412781525	7.906289347	7.309248961	8.109569509	7.62497818	7.685099172	7.213347282	7.516487981	7.585713709	8.056908618	7.076815597	7.365447589	7.261154673	8.123086751	7.415319248	8.073606041	7.452035274
SL000039	9.029839349	8.1017131	8.30241045	8.6043679	8.419538892	8.980139578	8.354028938	9.069852511	8.6727789	8.791814071	8.256444596	8.535664191	8.632268215	8.999154423	8.133399125	8.365447589	8.23935985	9.477555911	8.36018867	9.110613806	8.279378431
SL000045	10.61811015	10.40247917	10.85424505	10.79238361	10.24091056	10.68492391	10.79636414	11.7775841	11.26438395	11.10898176	10.88767757	10.71381608	9.951576139	10.78496195	10.70043972	10.13404121	10.19869059	11.65557544	9.945297511	10.58749626	10.55439699
SL000047	11.43967508	10.44118051	10.91273967	11.02859678	10.60149225	11.23786721	10.89686215	11.72583487	11.14268147	11.27064574	10.69522829	10.93656433	10.87927691	11.4325419	10.56786103	10.51362891	10.5661492	11.82519731	10.73885226	11.30862345	10.58824615
SL000048	11.82825551	10.90486038	11.40774575	11.5599984	11.17042585	11.81722352	11.35870614	12.20808191	11.71398787	11.5667676	11.29272424	11.65167959	11.29260922	11.8793918	11.28470845	11.14567746	11.17891378	11.98921708	11.16396409	11.88333061	11.215533
SL000049	11.35331226	9.864186145	10.67807191	10.8687454	10.85213933	11.06514682	11.11803262	11.7043792	10.88180225	11.16835873	11.34107399	11.58730873	10.08998006	11.06305796	11.13493964	10.44169926	10.68483627	11.13865579	10.88187871	10.48643282	11.2331403
SL000051	11.04875931	8.338959175	8.574404309	8.678071905	8.919757193	9.798795784	8.759555343	9.309931032	9.00814846	8.781031791	9.258330473	8.741804025	9.099084761	9.183139098	8.318316841	8.471268764	9.312882955	11.07688239	9.4108753	9.245552706	8.555356039
SL000052	12.31529111	11.21650337	11.60195645	12.15161912	11.58594838	12.38960445	11.57615363	12.51582301	11.93501768	11.73407449	11.66591324	11.73314246	12.04746477	12.49867472	11.37617967	11.59702829	11.54592977	12.30183911	11.54877375	12.6029076	11.37471348
SL000053	10.23397911	9.22905912	9.902827299	9.574404309	9.871597266	10.27903014	9.878050913	10.71398787	9.945297511	10.07481046	9.796201883	9.754386479	10.17741954	9.921394674	9.660530785	10.04425749	9.36128586	10.61746747	10.08931806	10.65374078	9.534886458
SL000055	10.79733729	9.667821181	9.66231233	10.74542223	9.930293818	10.86851392	9.387371158	11.33158878	10.70191287	10.28030681	11.1028287	10.72203903	10.52552081	11.04323239	10.04138537	9.722636788	10.20089861	9.716133525	10.00492268	11.25821268	9.494655613
SL000057	8.581577216	7.525129251	7.885086225	8.171927354	7.964629667	8.524345816	7.79246496	8.569096095	8.299208018	8.321026129	7.847996907	8.041659152	8.171927354	8.587590019	7.668884984	7.939579214	7.720415285	8.643134662	7.968090752	8.677719642	7.746178381
SL000062	9.213833283	8.268658955	8.541483864	8.696272084	8.652844973	9.173677136	8.6231499	9.266083758	9.019590728	8.799929151	8.529820947	8.802193217	8.783980414	9.288173968	8.397460726	8.651410526	8.453682186	9.28077077	8.493455201	9.321026129	8.480184324
SL000064	7.148730779	6.596935142	6.651051691	10.78773935	6.733354341	6.703211467	6.671010241	7.247927513	7.113742166	6.962317655	6.362820526	6.885086225	6.738767837	7.209453366	6.329123596	6.768184325	6.499845887	6.953032377	6.352264173	7.085339669	6.980710829
SL000070	7.866042497	7.425425735	7.687200695	7.891176125	7.886915896	7.985841937	7.934280594	8.553053253	7.892391026	8.582706527	7.642412773	7.656067274	8.373735202	8.338067798	7.339850003	7.602884409	7.341630009	8.412358137	9.160123534	8.616916363	7.03562391
SL000074	13.99731182	13.63728148	13.70712183	13.742962	13.68171059	13.89878086	13.75876454	14.11900594	13.78288562	13.85516048	13.75607673	13.85682428	13.81312983	14.00178641	13.66025222	13.70350349	13.61357079	14.18466617	13.7916513	13.93035851	13.68347716
SL000076	10.87152026	10.35634192	11.06534881	10.84470576	10.7883105	10.9759196	11.24448277	11.77169579	10.72109919	10.91206599	10.69034725	11.13282101	10.71690518	11.0379587	10.68079903	10.8748277	11.09724207	11.14618679	10.5690961	11.03528024	10.45481335
SL000084	9.802193217	8.820817182	9.036173613	9.3226042	9.06501215	9.766031913	9.080018029	9.744497506	9.541483864	9.368724704	9.038095925	9.209697044	9.400879436	9.786106233	8.852685552	9.084011098	8.876516947	9.882184493	8.957102042	9.900866808	8.903279342
